iteration,time_elapsed,joint_0_pos,joint_0_vel,joint_0_acc,joint_1_pos,joint_1_vel,joint_1_acc,joint_2_pos,joint_2_vel,joint_2_acc,joint_3_pos,joint_3_vel,joint_3_acc,joint_4_pos,joint_4_vel,joint_4_acc,joint_5_pos,joint_5_vel,joint_5_acc,joint_6_pos,joint_6_vel,joint_6_acc,joint_7_pos,joint_7_vel,joint_7_acc,joint_8_pos,joint_8_vel,joint_8_acc,joint_9_pos,joint_9_vel,joint_9_acc,joint_10_pos,joint_10_vel,joint_10_acc,joint_11_pos,joint_11_vel,joint_11_acc,joint_12_pos,joint_12_vel,joint_12_acc,joint_13_pos,joint_13_vel,joint_13_acc,joint_14_pos,joint_14_vel,joint_14_acc,joint_15_pos,joint_15_vel,joint_15_acc,joint_16_pos,joint_16_vel,joint_16_acc,joint_17_pos,joint_17_vel,joint_17_acc,joint_18_pos,joint_18_vel,joint_18_acc,joint_19_pos,joint_19_vel,joint_19_acc
20,0.4244418144226074,3.0810585497657156e-06,0.006065443351655658,6.0332187690304,-9.258175681064775e-05,-0.13172465767906114,-113.91170569831634,-0.00020255843758096843,-0.4050709913351787,-405.05569672625927,-1.2080209576518252e-05,-0.0241687326231755,-24.171503779888493,-0.00046597728958523385,-0.9319560958987869,-931.9566014748933,0.04957354170753347,0.5715028053124995,1046.3092687276892,-0.04888040484472473,0.9298624083879712,493.4197743337807,-1.0632752145921122e-05,-0.016463452431508752,-14.862768478064254,-4.6441220459036604e-05,-0.09035239401744348,-89.50904505056691,-3.371606172988113e-05,-0.06596019845281574,-65.46955678383358,-2.691340890529965e-05,-0.05380971627177967,-53.80401575883978,-0.00020110027944677243,-0.40324721373956257,-403.59609868823514,1.2227799301756855e-05,-0.012438985105789271,-24.73717967555693,0.04981755666883257,0.7246669495851331,1087.8514868917987,-0.04955327698974192,-0.5029701994359176,-968.4422727532815,-0.00014889674685981426,-0.29662363868668,-296.2336870090305,-8.239840088330188e-06,-0.015269076938660284,-14.865542525993588,0.00022953080708983494,0.4588896458688642,458.8323230985957,3.104063834714631e-05,0.06216923259842515,62.19855123313599,1.574547149731556e-05,0.03149630590721069,31.498093544737216
21,0.434053897857666,1.0578243230192368e-05,0.008928926009197646,2.863482657541989,-0.000268494080589782,-0.22009998987920731,-88.37533220014618,-0.0007341242535910091,-0.6580606406849028,-252.98964934972412,-3.915517056605784e-05,-0.029981189355903676,-5.812456732728178,-0.0014319553375346274,-0.9999999999999999,-68.04390410121296,0.05014468212145771,0.5707780225359792,-0.7247827765203017,-0.04791547364053075,1.0,70.13759161202879,-2.9986547501931006e-05,-0.022244138280511007,-5.780685849002256,-0.0001045240056448291,-0.0258131763541415,64.53921766330198,-0.00012919501883605796,-0.1249977157595379,-59.03751730672216,-0.0001327362586446429,-0.1578359832069068,-104.02626693512714,-0.0007305812717507634,-0.6557147708684193,-252.46755712885675,-3.4306164218373844e-06,-0.018877846341399204,-6.438861235609934,0.05067989014362514,1.0,275.3330504148669,-0.050138935741249294,-0.668347303578827,-165.37710414290933,-0.0004776741896885458,-0.360931246970783,-64.30760828410297,-2.6463924331083327e-05,-0.021179091546846,-5.9100146081857154,0.0007840108218174267,0.6500703835863193,191.18073771745512,0.00013127793635949183,0.13830536342626587,76.13613082784072,9.555843324046001e-05,0.1281296175790782,96.6333116718675
22,0.440079927444458,2.0543931568920646e-05,0.011002450668258905,2.0735246590612593,-0.0005299598687609061,-0.30283158646304076,-82.73159658383345,-0.0014347631863897443,-0.7432172249125677,-85.15658422766488,-6.337317709074768e-05,-0.018454823693476008,11.526365662427668,-0.0024319553375346274,-1.0,-2.1079055227957483e-13,0.050663940643426435,0.46773902140147794,-103.03900113450128,-0.046915473640530746,1.0,9.029277702324479e-15,-5.1231979815037344e-05,-0.02024672634570166,1.9974119348093442,-0.00010741468712586144,0.020031813392076818,45.84498974621832,-0.0002850478854185458,-0.1867080174054378,-61.7103016458999,-0.00034306242533101443,-0.26281635016583615,-104.98036695892937,-0.001428999916576448,-0.7411225187829498,-85.40774791453047,-1.690604845239872e-05,-0.008073017719723468,10.804828621675735,0.05167989014362514,1.0000000000000002,3.066217738787432e-13,-0.050701803134951186,-0.45738748382495303,210.95981975387394,-0.0008017270789461267,-0.2871745315443789,73.7567154264041,-4.67836432783998e-05,-0.019460346347786955,1.718745199059043,0.001502053575465265,0.7860151237093569,135.94474012303752,0.0003053159015012932,0.20977056685733692,71.46520343107106,0.0002766761858091002,0.23410588755820222,105.97626997912401
23,0.44858884811401367,3.2524100858488196e-05,0.012957887910876193,1.955437242617288,-0.0008727120776393098,-0.3826728312937666,-79.84124483072588,-0.0022214544256544126,-0.830165253616769,-86.94802870420129,-7.66290466830022e-05,-0.00805691549103303,10.397908202442977,-0.0034319553375346274,-1.0000000000000002,-1.5705623232253626e-13,0.05108169878225659,0.36777725625883056,-99.96176514264738,-0.045915473640530745,1.0,-2.5630434063070787e-14,-7.065950822608096e-05,-0.018608330476385576,1.6383958693160856,-6.467108228426881e-05,0.06545539629110844,45.423582899031615,-0.000501220616647007,-0.2456374450514846,-58.92942764604681,-0.0006572298158328125,-0.3655184308377599,-102.70208067192375,-0.002213702759628159,-0.8282831673204726,-87.16064853752285,-2.017300459923621e-05,0.0015391054260484906,9.612123145771958,0.05267989014362514,1.0,-1.4811659765865973e-13,-0.05105502598510881,-0.2490582164902924,208.32926733466064,-0.0010512150658928488,-0.21180144234906553,75.37308919531336,-6.56025457982895e-05,-0.018177458691992446,1.28288765579451,0.0023496890639845515,0.9092558533292157,123.24072961985883,0.0005492040394956115,0.27800570913129957,68.23514227396265,0.0005631457029856125,0.3388331467948223,104.72725923662006
24,0.4553990364074707,4.641203384067692e-05,0.014817978053501251,1.860090142625058,-0.0012940667315920274,-0.46003647661166847,-77.36364531790183,-0.003096024399359995,-0.9189746937943956,-88.8094401776266,-8.006382173725032e-05,0.0011873653825368088,9.244280873569839,-0.004431955337534627,-1.0,2.0276816722523207e-13,0.051400664376255144,0.2701539317382785,-97.62332452055203,-0.044915473640530744,1.0,2.709193786594837e-14,-8.862840307187578e-05,-0.01732945921520406,1.2788712611815156,2.10679972692672e-05,0.10602276281596361,40.56736652485517,-0.0007747009990518367,-0.3013233197581747,-55.68587470669013,-0.0010724820314670634,-0.4649860004307418,-99.46756959298183,-0.003086477870948388,-0.9172670553199848,-88.98388799951219,-1.4443159816032573e-05,0.009920584140358782,8.38147871431029,0.05367989014362514,1.0000000000000002,3.307688708887622e-13,-0.0512008187551189,-0.042527323529882866,206.53089296040952,-0.0012244928980415439,-0.1347542219483246,77.04722040074094,-8.336298891408535e-05,-0.01734342753959927,0.834031152393176,0.0033043169906491593,1.0,90.74414667078435,0.0008595447126590744,0.3426756371956262,64.66992806432667,0.0009533332620815739,0.4415419713971005,102.7088246022782
25,0.4604177474975586,6.213065889830993e-05,0.01661927206176476,1.801294008263511,-0.001791867661381339,-0.5355653829669549,-75.52890635528642,-0.004055511746257193,-1.0,-81.02530620560454,-7.471456170218097e-05,0.009511154687601884,8.323789305065075,-0.0054319553375346274,-1.0,-7.520881160263004e-14,0.05162315291170323,0.17482313915789774,-95.33079258038077,-0.04391547364053074,1.0,-4.112150904642696e-14,-0.00010535876703742713,-0.016131268715898636,1.1981904993054246,0.0001417899725142414,0.13542118767398478,29.398424858021183,-0.0011020345756978306,-0.3533438335338128,-52.02051377563812,-0.0015849004232290883,-0.5598507830933082,-94.86478266256634,-0.004044339285869929,-0.998455774523098,-81.18871920311317,-8.309857275168406e-07,0.017303764036672685,7.383179896313902,0.05467989014362514,1.0000000000000002,4.5442013089540664e-14,-0.05114520664538101,0.1537515430056603,196.27886653554316,-0.001324153407584847,-0.06456679713828162,70.18742481004297,-0.00010037528625734433,-0.016681167146918672,0.6622603926805968,0.004304316990649159,1.0,-1.536729756015454e-17,0.0012326533235012798,0.4035415844887848,60.86594729315859,0.0014446039132654238,0.540999330970599,99.45735957349855
26,0.466235876083374,7.95407854545318e-05,0.01820098105067898,1.5817089889142193,-0.0023626833761915076,-0.6060660466533825,-70.50066368642761,-0.005055511746257193,-1.0,2.5318647795510495e-14,-6.0907155301198996e-05,0.01810365811436207,8.592503426760183,-0.0064319553375346275,-0.9999999999999999,8.977534490077893e-14,0.05175988324158936,0.09863752061435109,-76.18561854354665,-0.04291547364053074,1.0,-3.0899248367270044e-14,-0.00011999743412618576,-0.013146065461618613,2.985203254280023,0.00031156355368438474,0.20412597466630178,68.704786992317,-0.0014790828433285416,-0.4007527017276094,-47.40886819379659,-0.002194889000789471,-0.6601263720274573,-100.27558893414908,-0.005042961366062958,-0.9987883858629601,-0.3326113398622236,2.0321759389350475e-05,0.02500172619706194,7.697962160389256,0.05567989014362514,1.0,-1.2015496061540909e-13,-0.050938996468490774,0.258668810774813,104.91726776915273,-0.0013891980029145617,-0.06552239352114793,-0.9555963828663081,-0.00011581914086327718,-0.014206542064947035,2.4746250819716376,0.005304316990649159,1.0,-3.593074657037916e-15,0.0016649700399433227,0.4610918483953009,57.55026390651609,0.0020387260514023553,0.6472449453032638,106.24561433266479
27,0.47242093086242676,9.848127739834515e-05,0.019680002836947694,1.4790217862687145,-0.003002705143443859,-0.6739774878513197,-67.91144119793722,-0.006055511746257193,-1.0000000000000002,-1.1296732859211499e-13,-3.894768102685882e-05,0.025815290434318277,7.711632319956207,-0.0074319553375346275,-1.0,-1.6290741159074933e-13,0.05182212353649324,0.025843069193424065,-72.79445142092702,-0.04191547364053074,1.0,-3.6411710002202056e-15,-0.00013177523006630056,-0.010409526418610957,2.7365390430076566,0.0005497656012941563,0.27227812055324135,68.15214588693956,-0.001901429811084068,-0.44394123378344336,-43.18853205583393,-0.002903935196145294,-0.757966018684188,-97.83964665673076,-0.006041900539297656,-0.9990899606064371,-0.3015747434769524,4.873859209477061e-05,0.03183193921377833,6.83021301671639,0.05667989014362514,1.0000000000000002,1.4523298688239167e-13,-0.05063003690513522,0.35925031593628864,100.58150516147565,-0.0014551534536709032,-0.06638850799153499,-0.8661144703870656,-0.00012891153145866045,-0.01197823912581953,2.228302939127504,0.006304316990649159,1.0,6.466903933768966e-16,0.0021527120817935973,0.5143922353052486,53.3003869099477,0.002738553941285398,0.7524108344628212,105.16588915955741
28,0.47774386405944824,0.00011885208086895446,0.021061604104270937,1.3816012673232418,-0.0037093953689535542,-0.7394029631680712,-65.42547531675142,-0.007055511746257193,-1.0000000000000002,1.1004292188256384e-13,-9.693061437652603e-06,0.03269394874409415,6.878658309775872,-0.008431955337534627,-0.9999999999999999,1.2142077858325374e-13,0.05181321860252616,-0.04365293712758139,-69.49600632100545,-0.04091547364053074,1.0,4.933721153600973e-15,-0.00014093371617468763,-0.00790744579816321,2.5020806204477473,0.0008554327803344658,0.3390562375273777,66.77811697413634,-0.00236476760075792,-0.4827343455642604,-38.79311178081704,-0.003709525272647519,-0.8532141343202622,-95.24811563607417,-0.00704112669372599,-0.999362348250231,-0.2723876437938993,8.357556139850358e-05,0.03784199939368761,6.010060179909281,0.057679890143625144,1.0000000000000002,-4.963855725214366e-14,-0.05022260082239236,0.45562184954943036,96.37153361314171,-0.001521929569216586,-0.06716372309983042,-0.7752151082954253,-0.00013989171791833186,-0.009982133793523296,1.9961053322962345,0.007304316990649159,1.0,-5.402046458260219e-16,0.0026915533862155155,0.563290373538588,48.898138233339395,0.0035429298092377864,0.8563409014419551,103.93006697913391
29,0.48375678062438965,0.00014055819640835355,0.02235062697452724,1.2890228702563022,-0.0044803169430356,-0.8024401849960203,-63.03722182794907,-0.008055511746257193,-1.0,1.908862090334713e-13,2.6045950862305484e-05,0.038784075855822026,6.090127111727879,-0.009431955337534628,-1.0,-1.5904593810355825e-13,0.05173642123616454,-0.10994179559566958,-66.28885846808818,-0.03991547364053074,1.0,3.22695991388308e-15,-0.00014770102341149207,-0.005627168675445645,2.280277122717565,0.001226825778379374,0.40372975856243826,64.67352103506059,-0.002864643035567848,-0.517016524055596,-34.282178491335486,-0.004609001378941092,-0.9457380782668834,-92.52394394662122,-0.008040611450621736,-0.9996071655412608,-0.24481729102991884,0.00012403460786514854,0.043076093539602296,5.234094145914684,0.058679890143625145,1.0000000000000004,2.1826917218812064e-13,-0.04972083692979761,0.5479059356400717,92.28408609064141,-0.0015894352131914018,-0.06784756484980131,-0.6838417499708914,-0.0001489855948824747,-0.00820562013476243,1.776513658760865,0.008304316990649159,1.0,2.441409071352113e-18,0.003277037096763342,0.6076770475570653,44.38667401847729,0.0044505480476709795,0.9588955754244313,102.55467398247617
